,main_image,1_image,1_image_score,2_image,2_image_score,3_image,3_image_score
1121,image_0285,image_0233,3325,image_0228,3406,image_1080,3428
1122,image_1156,image_0566,1615,image_1166,1623,image_1133,1651
1123,image_0328,image_1000,1145,image_1196,1180,image_0174,1388
1124,image_0395,image_1153,1515,image_0557,1537,image_1144,1560
1125,image_1094,image_1112,1427,image_0033,1477,image_0046,1477
1126,image_0215,image_1170,1607,image_1151,1608,image_0845,1635
1127,image_0112,image_0193,1376,image_0791,1718,image_0557,1913
1128,image_0391,image_0715,2149,image_1354,2219,image_0207,2266
1129,image_0394,image_0322,2053,image_0075,2193,image_0352,2339
1130,image_0440,image_1184,1327,image_0851,1513,image_0873,1527
1131,image_0356,image_0362,208,image_0207,1885,image_0364,1955
1132,image_0330,image_0084,1162,image_0101,1198,image_0875,1233
1133,image_0185,image_0162,1114,image_0257,1117,image_1354,1801
1134,image_0710,image_1132,1063,image_0602,1172,image_0883,1249
1135,image_0647,image_1148,1119,image_0239,1254,image_1062,1270
1136,image_1221,image_0193,1366,image_0237,1621,image_0557,1737
1137,image_0184,image_0234,1123,image_0875,1161,image_0097,1343
1138,image_0604,image_0257,1946,image_1354,2681,image_0162,3825
1139,image_0105,image_1308,1860,image_1325,1866,image_1236,1875
1140,image_0874,image_0461,611,image_1325,1051,image_0291,1156
1141,image_0019,image_0257,1929,image_1303,1951,image_0557,2019
1142,image_0489,image_0511,2285,image_1190,2609,image_1107,2613
1143,image_1188,image_0557,2362,image_1303,3717,image_0257,6840
1144,image_0125,image_0082,1063,image_0237,1379,image_0157,1564
1145,image_1343,image_1336,2485,image_0867,4097,image_0557,4619
1146,image_0404,image_1124,2083,image_1006,2084,image_1151,2084
1147,image_0700,image_0662,432,image_1193,2574,image_0614,2639
1148,image_0956,image_0905,1546,image_0322,1549,image_0612,1657
1149,image_0745,image_1123,1460,image_1177,1462,image_1174,2120
1150,image_0196,image_0188,22,image_0212,1632,image_0206,2306
1151,image_0510,image_1148,14500,image_0557,16141,image_1140,24607
1152,image_0916,image_0905,1364,image_0919,1610,image_0948,1657
1153,image_0008,image_0030,1560,image_0614,1699,image_1129,1766
1154,image_0642,image_0681,555,image_0707,2208,image_0050,3004
1155,image_0516,image_0492,2161,image_0539,2376,image_0098,4376
